2025-11-04 18:53:27,387 | WARNING | logger.py:390 | [TO_DO]  stderr:         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-11-04 18:55:52,474 | WARNING | logger.py:390 | [TO_DO]  stderr:     super(RelativeLayout, self).__init__(**kw)
2025-11-04 18:55:52,474 | WARNING | logger.py:390 | [TO_DO]  stderr:     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^
2025-11-04 18:55:52,474 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "D:\Python\TO_DO_Kivy\.venv\Lib\site-packages\kivy\uix\floatlayout.py", line 65, in __init__
2025-11-04 18:55:52,474 | WARNING | logger.py:390 | [TO_DO]  stderr:     super(FloatLayout, self).__init__(**kwargs)
2025-11-04 18:55:52,474 | WARNING | logger.py:390 | [TO_DO]  stderr:     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^
2025-11-04 18:55:52,474 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "D:\Python\TO_DO_Kivy\.venv\Lib\site-packages\kivy\uix\layout.py", line 76, in __init__
2025-11-04 18:55:52,474 | WARNING | logger.py:390 | [TO_DO]  stderr:     super(Layout, self).__init__(**kwargs)
2025-11-04 18:55:52,474 | WARNING | logger.py:390 | [TO_DO]  stderr:     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^
2025-11-04 18:55:52,474 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "D:\Python\TO_DO_Kivy\.venv\Lib\site-packages\kivy\uix\widget.py", line 366, in __init__
2025-11-04 18:55:52,474 | WARNING | logger.py:390 | [TO_DO]  stderr:     self.apply_class_lang_rules(
2025-11-04 18:55:52,474 | WARNING | logger.py:390 | [TO_DO]  stderr:     ~~~~~~~~~~~~~~~~~~~~~~~~~~~^
2025-11-04 18:55:52,474 | WARNING | logger.py:390 | [TO_DO]  stderr:         ignored_consts=self._kwargs_applied_init,
2025-11-04 18:55:52,475 | WARNING | logger.py:390 | [TO_DO]  stderr:         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-11-04 18:55:52,475 | WARNING | logger.py:390 | [TO_DO]  stderr:         rule_children=rule_children)
2025-11-04 18:55:52,475 | WARNING | logger.py:390 | [TO_DO]  stderr:         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-11-04 18:55:52,475 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "D:\Python\TO_DO_Kivy\.venv\Lib\site-packages\kivy\uix\widget.py", line 470, in apply_class_lang_rules
2025-11-04 18:55:52,475 | WARNING | logger.py:390 | [TO_DO]  stderr:     Builder.apply(
2025-11-04 18:55:52,475 | WARNING | logger.py:390 | [TO_DO]  stderr:     ~~~~~~~~~~~~~^
2025-11-04 18:55:52,475 | WARNING | logger.py:390 | [TO_DO]  stderr:         self, ignored_consts=ignored_consts,
2025-11-04 18:55:52,475 | WARNING | logger.py:390 | [TO_DO]  stderr:         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-11-04 18:55:52,475 | WARNING | logger.py:390 | [TO_DO]  stderr:         rule_children=rule_children)
2025-11-04 18:55:52,475 | WARNING | logger.py:390 | [TO_DO]  stderr:         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-11-04 18:55:52,475 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "D:\Python\TO_DO_Kivy\.venv\Lib\site-packages\kivy\lang\builder.py", line 545, in apply
2025-11-04 18:55:52,475 | WARNING | logger.py:390 | [TO_DO]  stderr:     self._apply_rule(
2025-11-04 18:55:52,475 | WARNING | logger.py:390 | [TO_DO]  stderr:     ~~~~~~~~~~~~~~~~^
2025-11-04 18:55:52,475 | WARNING | logger.py:390 | [TO_DO]  stderr:         widget, rule, rule, ignored_consts=ignored_consts,
2025-11-04 18:55:52,475 | WARNING | logger.py:390 | [TO_DO]  stderr:         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-11-04 18:55:52,475 | WARNING | logger.py:390 | [TO_DO]  stderr:         rule_children=rule_children)
2025-11-04 18:55:52,475 | WARNING | logger.py:390 | [TO_DO]  stderr:         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-11-04 18:55:52,476 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "D:\Python\TO_DO_Kivy\.venv\Lib\site-packages\kivy\lang\builder.py", line 714, in _apply_rule
2025-11-04 18:55:52,476 | WARNING | logger.py:390 | [TO_DO]  stderr:     raise BuilderException(rule.ctx, rule.line,
2025-11-04 18:55:52,476 | WARNING | logger.py:390 | [TO_DO]  stderr:                            '{}: {}'.format(e.__class__.__name__,
2025-11-04 18:55:52,476 | WARNING | logger.py:390 | [TO_DO]  stderr:                                            e), cause=tb)
2025-11-04 18:55:52,476 | WARNING | logger.py:390 | [TO_DO]  stderr: kivy.lang.builder.BuilderException: Parser: File "D:\Python\TO_DO_Kivy\kv\screens\settings.kv", line 25:
2025-11-04 18:55:52,476 | WARNING | logger.py:390 | [TO_DO]  stderr: ...
2025-11-04 18:55:52,476 | WARNING | logger.py:390 | [TO_DO]  stderr:      23:    BoxLayout:
2025-11-04 18:55:52,476 | WARNING | logger.py:390 | [TO_DO]  stderr:      24:        orientation: "vertical"
2025-11-04 18:55:52,476 | WARNING | logger.py:390 | [TO_DO]  stderr: >>   25:        spacing: 0, root.height/25
2025-11-04 18:55:52,476 | WARNING | logger.py:390 | [TO_DO]  stderr:      26:        Button_1:
2025-11-04 18:55:52,476 | WARNING | logger.py:390 | [TO_DO]  stderr:      27:            id: ddl_open
2025-11-04 18:55:52,476 | WARNING | logger.py:390 | [TO_DO]  stderr: ...
2025-11-04 18:55:52,476 | WARNING | logger.py:390 | [TO_DO]  stderr: TypeError: Expected unicode, got float
2025-11-04 18:55:52,476 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "D:\Python\TO_DO_Kivy\.venv\Lib\site-packages\kivy\lang\builder.py", line 705, in _apply_rule
2025-11-04 18:55:52,476 | WARNING | logger.py:390 | [TO_DO]  stderr:     setattr(widget_set, key, value)
2025-11-04 18:55:52,476 | WARNING | logger.py:390 | [TO_DO]  stderr:     ~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^
2025-11-04 18:55:52,476 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "kivy\\weakproxy.pyx", line 35, in kivy.weakproxy.WeakProxy.__setattr__
2025-11-04 18:55:52,476 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "kivy\\properties.pyx", line 520, in kivy.properties.Property.__set__
2025-11-04 18:55:52,477 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "kivy\\properties.pyx", line 549, in kivy.properties.Property.set
2025-11-04 18:55:52,477 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "kivy\\properties.pyx", line 748, in kivy.properties.NumericProperty.convert
2025-11-04 18:55:52,477 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "kivy\\properties.pyx", line 769, in kivy.properties.NumericProperty.parse_list
2025-11-04 18:55:52,477 | WARNING | logger.py:390 | [TO_DO]  stderr: 
2025-11-04 18:59:15,740 | WARNING | config_logger.py:43 | [TO_DO]  Application started with mode: debug
2025-11-04 19:00:06,945 | INFO | base.py:616 | [TO_DO]  Base: Leaving application in progress...
2025-11-04 19:00:19,131 | WARNING | config_logger.py:43 | [TO_DO]  Application started with mode: debug
2025-11-04 19:00:43,350 | INFO | base.py:616 | [TO_DO]  Base: Leaving application in progress...
2025-11-04 19:01:19,934 | WARNING | config_logger.py:43 | [TO_DO]  Application started with mode: debug
2025-11-04 19:01:55,538 | INFO | base.py:616 | [TO_DO]  Base: Leaving application in progress...
2025-11-04 19:02:24,829 | WARNING | config_logger.py:43 | [TO_DO]  Application started with mode: debug
2025-11-04 19:02:38,949 | INFO | base.py:616 | [TO_DO]  Base: Leaving application in progress...
2025-11-04 19:03:06,829 | WARNING | config_logger.py:43 | [TO_DO]  Application started with mode: debug
2025-11-04 19:03:19,513 | INFO | base.py:616 | [TO_DO]  Base: Leaving application in progress...
2025-11-04 19:03:28,090 | WARNING | config_logger.py:43 | [TO_DO]  Application started with mode: debug
2025-11-04 19:03:55,047 | INFO | base.py:616 | [TO_DO]  Base: Leaving application in progress...
2025-11-04 19:05:17,234 | WARNING | config_logger.py:43 | [TO_DO]  Application started with mode: debug
2025-11-04 19:05:35,686 | INFO | base.py:616 | [TO_DO]  Base: Leaving application in progress...
2025-11-04 19:06:08,031 | WARNING | config_logger.py:43 | [TO_DO]  Application started with mode: debug
2025-11-04 19:06:14,944 | INFO | base.py:616 | [TO_DO]  Base: Leaving application in progress...
2025-11-04 19:07:24,187 | WARNING | config_logger.py:43 | [TO_DO]  Application started with mode: debug
2025-11-04 19:07:40,428 | INFO | base.py:616 | [TO_DO]  Base: Leaving application in progress...
2025-11-04 19:34:55,583 | WARNING | config_logger.py:43 | [TO_DO]  Application started with mode: debug
2025-11-04 19:35:10,609 | INFO | base.py:616 | [TO_DO]  Base: Leaving application in progress...
2025-11-04 19:38:18 | WARNING | config_logger.py:43 | [TO_DO]  Application started with mode: debug
2025-11-04 19:38:25 | INFO | base.py:616 | [TO_DO]  Base: Leaving application in progress...
2025-11-04 19:44:59 | WARNING | config_logger.py:43 | [TO_DO]  Application started with mode: debug
2025-11-04 19:45:06 | INFO | base.py:616 | [TO_DO]  Base: Leaving application in progress...
2025-11-04 19:45:06 | WARNING | logger.py:390 | [TO_DO]  stderr: Traceback (most recent call last):
2025-11-04 19:45:06 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "D:\Python\TO_DO_Kivy\main.py", line 71, in <module>
2025-11-04 19:45:06 | WARNING | logger.py:390 | [TO_DO]  stderr:     TO_DOApp().run()
2025-11-04 19:45:06 | WARNING | logger.py:390 | [TO_DO]  stderr:     ~~~~~~~~~~~~~~^^
2025-11-04 19:45:06 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "D:\Python\TO_DO_Kivy\.venv\Lib\site-packages\kivy\app.py", line 956, in run
2025-11-04 19:45:06 | WARNING | logger.py:390 | [TO_DO]  stderr:     runTouchApp()
2025-11-04 19:45:06 | WARNING | logger.py:390 | [TO_DO]  stderr:     ~~~~~~~~~~~^^
2025-11-04 19:45:06 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "D:\Python\TO_DO_Kivy\.venv\Lib\site-packages\kivy\base.py", line 574, in runTouchApp
2025-11-04 19:45:06 | WARNING | logger.py:390 | [TO_DO]  stderr:     EventLoop.mainloop()
2025-11-04 19:45:06 | WARNING | logger.py:390 | [TO_DO]  stderr:     ~~~~~~~~~~~~~~~~~~^^
2025-11-04 19:45:06 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "D:\Python\TO_DO_Kivy\.venv\Lib\site-packages\kivy\base.py", line 339, in mainloop
2025-11-04 19:45:06 | WARNING | logger.py:390 | [TO_DO]  stderr:     self.idle()
2025-11-04 19:45:06 | WARNING | logger.py:390 | [TO_DO]  stderr:     ~~~~~~~~~^^
2025-11-04 19:45:06 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "D:\Python\TO_DO_Kivy\.venv\Lib\site-packages\kivy\base.py", line 383, in idle
2025-11-04 19:45:06 | WARNING | logger.py:390 | [TO_DO]  stderr:     self.dispatch_input()
2025-11-04 19:45:06 | WARNING | logger.py:390 | [TO_DO]  stderr:     ~~~~~~~~~~~~~~~~~~~^^
2025-11-04 19:45:06 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "D:\Python\TO_DO_Kivy\.venv\Lib\site-packages\kivy\base.py", line 334, in dispatch_input
2025-11-04 19:45:06 | WARNING | logger.py:390 | [TO_DO]  stderr:     post_dispatch_input(*pop(0))
2025-11-04 19:45:06 | WARNING | logger.py:390 | [TO_DO]  stderr:     ~~~~~~~~~~~~~~~~~~~^^^^^^^^^
2025-11-04 19:45:06 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "D:\Python\TO_DO_Kivy\.venv\Lib\site-packages\kivy\base.py", line 302, in post_dispatch_input
2025-11-04 19:45:06 | WARNING | logger.py:390 | [TO_DO]  stderr:     wid.dispatch('on_touch_up', me)
2025-11-04 19:45:06 | WARNING | logger.py:390 | [TO_DO]  stderr:     ~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^
2025-11-04 19:45:06 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "kivy\\_event.pyx", line 731, in kivy._event.EventDispatcher.dispatch
2025-11-04 19:45:06 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "D:\Python\TO_DO_Kivy\.venv\Lib\site-packages\kivy\uix\behaviors\button.py", line 179, in on_touch_up
2025-11-04 19:45:06 | WARNING | logger.py:390 | [TO_DO]  stderr:     self.dispatch('on_release')
2025-11-04 19:45:06 | WARNING | logger.py:390 | [TO_DO]  stderr:     ~~~~~~~~~~~~~^^^^^^^^^^^^^^
2025-11-04 19:45:06 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "kivy\\_event.pyx", line 727, in kivy._event.EventDispatcher.dispatch
2025-11-04 19:45:06 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "kivy\\_event.pyx", line 1307, in kivy._event.EventObservers.dispatch
2025-11-04 19:45:06 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "kivy\\_event.pyx", line 1191, in kivy._event.EventObservers._dispatch
2025-11-04 19:45:06 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "D:\Python\TO_DO_Kivy\.venv\Lib\site-packages\kivy\lang\builder.py", line 60, in custom_callback
2025-11-04 19:45:06 | WARNING | logger.py:390 | [TO_DO]  stderr:     exec(__kvlang__.co_value, idmap)
2025-11-04 19:45:06 | WARNING | logger.py:390 | [TO_DO]  stderr:     ~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-11-04 19:45:06 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "D:\Python\TO_DO_Kivy\kv\screens\settings.kv", line 36, in <module>
2025-11-04 19:45:06 | WARNING | logger.py:390 | [TO_DO]  stderr:     (hasattr(self, "dropdown") or setattr(self, "dropdown", Factory.DrDownLang()))
2025-11-04 19:45:06 | WARNING | logger.py:390 | [TO_DO]  stderr:                                             ^^^^^^^^^^^^^^^^^^
2025-11-04 19:45:06 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "D:\Python\TO_DO_Kivy\.venv\Lib\site-packages\kivy\context.py", line 36, in __getattribute__
2025-11-04 19:45:06 | WARNING | logger.py:390 | [TO_DO]  stderr:     return getattr(object.__getattribute__(self, '_obj'), name)
2025-11-04 19:45:06 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "D:\Python\TO_DO_Kivy\.venv\Lib\site-packages\kivy\factory.py", line 147, in __getattr__
2025-11-04 19:45:06 | WARNING | logger.py:390 | [TO_DO]  stderr:     raise FactoryException('Unknown class <%s>' % name)
2025-11-04 19:45:06 | WARNING | logger.py:390 | [TO_DO]  stderr: kivy.factory.FactoryException: Unknown class <DrDownLang>
2025-11-04 19:45:56 | WARNING | config_logger.py:43 | [TO_DO]  Application started with mode: debug
2025-11-04 19:46:11 | INFO | base.py:616 | [TO_DO]  Base: Leaving application in progress...
2025-11-04 19:48:20 | WARNING | config_logger.py:43 | [TO_DO]  Application started with mode: debug
2025-11-04 19:48:32 | INFO | base.py:616 | [TO_DO]  Base: Leaving application in progress...
2025-11-04 19:49:07 | WARNING | config_logger.py:43 | [TO_DO]  Application started with mode: debug
